numero_artigo,caput
116,"Antes de passar em julgado a sentença final, a prescrição não corre: I – enquanto não resolvida, em outro processo, questão de que dependa o reconhecimento da existência do crime; II – enquanto o agente cumpre pena no estrangeiro. Parágrafo único . Depois de passada em julgado a sentença condenatória, a prescrição não corre durante o tempo em que o condenado está preso por outro motivo. Causas interruptivas da prescrição"
117,O curso da prescrição interrompe-se: I – pelo recebimento da denúncia ou da queixa; II – pela pronúncia; III – pela decisão confirmatória da pronúncia; IV – pela publicação da sentença ou acórdão condenatórios recorríveis; V – pelo início ou continuação do cumprimento da pena; VI – pela reincidência.
118,As penas mais leves prescrevem com as mais graves.
119,"No caso de concurso de crimes, a extinção da punibilidade incidirá sobre a pena de cada um, isoladamente. Perdão judicial"
120,A sentença que conceder perdão judicial não será considerada para efeitos de reincidência. P ARTE ESPECIAL TÍTULO I – Dos Crimes contra a Pessoa CAPÍTULO I – Dos Crimes contra a Vida Homicídio simples
122,Induzir ou instigar alguém a suicidar-se ou prestar-lhe auxílio para que o faça:
123,"Matar, sob a influência do estado puerperal, o próprio filho, durante o parto ou logo após:"
124,Provocar aborto em si mesma ou consentir que outrem lho provoque:1
125,"Provocar aborto, sem o consentimento da gestante:"
126,Provocar aborto com o consentimento da gestante:2
